,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,154,219.12884289767396,1.778955963000044
1,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,223,238.42135168561958,2.3891049759986345
2,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,210,221.06622763918074,2.480320123999263
3,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,440,255.77577166839828,4.747520914999768
4,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,201,262.9328890350134,2.3556579100004456
5,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,169,246.78059510082596,1.8867385000012291
6,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,122,258.4316809753117,1.485512044000643
7,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,145,208.64113379531364,1.7719198759987194
8,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,149,207.06372520904526,1.8604963020006835
9,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,205,188.46952600657255,2.4485064379987307
10,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,139,248.3407285915047,1.7163607019974734
11,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,118,245.0926950130767,1.452307130999543
12,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,154,244.4271191991395,1.8245180340018123
13,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,232,288.60097981354,2.611989941000502
14,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,166,252.46169274496236,1.8883780180003669
