,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,119,309.17010180417924,1.144754778000788
1,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,63,187.9118197220376,0.8261177050007973
2,14.0,2.5,35.0,2.5,21.0,3.0,0.3,False,,,21.16772533299809
3,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,248,231.6845990473906,2.2251018320021103
4,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,70,159.24998840119721,0.7757409890000417
5,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,73,244.34864248630166,0.7573874160007108
6,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,64,223.43705202919915,0.8951829359975818
7,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,493,450.179278843097,3.4111996659994475
8,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,91,274.5010999263102,1.0019665250001708
9,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,91,250.08979958993456,0.9395282469995436
10,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,260,312.9942649123701,2.8045321719982894
11,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,174,377.5520060614615,1.7823165690024325
12,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,217,236.16028740905966,2.4286806190029893
13,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,405,293.44290993418986,3.1420559649995994
14,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,192,403.10551470068197,1.9679767550005636
