,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,78,195.88559086412985,0.8017000889994961
1,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,76,222.03913271690976,1.057152434001182
2,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,200,190.13686192214433,1.821101933997852
3,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,65,230.98044817704496,0.8027326759984135
4,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,79,270.53639457762074,0.9695632999973895
5,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,1999,248.18685599921403,21.945774735002487
6,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,35,267.4206701477227,0.5111388990007981
7,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,58,307.9394077498028,0.7753051569998206
8,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,100,213.92186652363984,0.9751218579986016
9,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,319,203.2010414966934,3.4486819169978844
10,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,100,313.57157556527926,1.1406486560008489
11,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,104,207.02855213067042,1.2380182859997149
12,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,72,216.50384231276666,1.0150282529975811
13,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,107,234.15131848536566,1.4056380679976428
14,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,87,214.3883536275143,1.2099254759996256
