,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,321,223.40479660616492,3.564515253998252
1,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,77,227.93659570195618,0.9544372210002621
2,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,129,243.89729863815367,1.4764905070005625
3,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,462,245.2394921252996,4.602872742998443
4,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,148,249.53505525224267,1.6946740060011507
5,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,99,283.9736681804491,1.1713450379975257
6,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,205,265.7841697573109,2.060333105000609
7,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,150,288.0780384546368,1.6820246409988613
8,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,155,204.57527921213958,1.5477725960008684
9,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,135,246.32992481960278,1.5460856529971352
10,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,110,274.3950180668924,1.1625524039991433
11,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,138,264.34362153996886,1.56778344200211
12,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,73,208.94137427961874,0.9729133259970695
13,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,78,238.68400763831514,0.9639119080020464
14,14.0,2.5,35.0,2.5,21.0,3.0,0.3,True,200,270.4251380862669,2.185616451999522
