,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,47,96.07506319648957,0.6069030200014822
1,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,29,172.18743176300083,0.4645151960030489
2,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,14,74.89733258697585,0.3043257050012471
3,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,30,188.70202065898957,0.449819560002652
4,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,440,569.3738691632924,3.3916827680004644
5,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,139,265.2825690042146,1.1866481090000889
6,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,574,408.60475433365343,5.116257465000672
7,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,570,503.59145461042135,4.392064587998902
8,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,39,129.04058110784754,0.4869577460012806
9,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,21,150.8298200054029,0.35533529600070324
10,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,29,177.07781398184065,0.42828076200021314
11,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,26,171.87666184885853,0.48242619600205217
12,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,589,440.7264079427383,5.700989875000232
13,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,19,192.0589325417153,0.3600231830023404
14,47.0,2.5,43.0,20.5,18.439088914585774,3.0,0.3,True,17,107.39077758895135,0.3118795330010471
