,start_x,start_y,end_x,end_y,euclidian_distance,max_edge_len,goal_rate,finished,iter_count,final_distance,time
0,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,172,290.6425794082793,1.470289197000966
1,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,58,134.79457137842095,0.6654359669992118
2,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,45,308.29057023106975,0.6346902820005198
3,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,30,202.507060194022,0.4385385610003141
4,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,1778,364.00789100480006,20.741624629998114
5,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,488,236.3321642615887,5.120950292999623
6,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,446,244.79796785495284,4.675407601003826
7,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,490,360.40625020188605,3.5746403630037094
8,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,24,279.2033464150857,0.42991443799837725
9,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,491,316.39248566471895,3.452857245996711
10,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,124,384.8574976350272,1.0556199639977422
11,47.0,2.5,32.0,2.5,15.0,3.0,0.3,False,,,16.259146819000307
12,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,143,291.73120152047824,1.2543613620000542
13,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,117,250.41973207550745,0.9574219460046152
14,47.0,2.5,32.0,2.5,15.0,3.0,0.3,True,163,218.81600325520344,1.45924978399853
